23:55; temperature; -14
23:55; wind_speed; 11
23:55; pressure; 728
23:55; temperature; -16
23:55; wind_speed; 15
23:55; pressure; 741
23:55; temperature; -18
23:55; wind_speed; 7
23:55; pressure; 727
23:55; temperature; -18
23:55; wind_speed; 9
23:55; pressure; 722
23:55; temperature; -3
23:55; wind_speed; 23
23:55; pressure; 742
00:08; temperature; -5
00:08; wind_speed; 6
00:08; pressure; 734
00:08; temperature; -4
00:08; wind_speed; 23
00:08; pressure; 731
00:10; temperature; -3
00:10; wind_speed; 12
00:10; pressure; 721
00:10; temperature; -17
00:10; wind_speed; 20
00:10; pressure; 745
